"","id","device_id","name","location.latitude","location.longitude"
"1","S109","S109","Ang Mo Kio Avenue 5",1.3764,103.8492
"2","S117","S117","Banyan Road",1.256,103.679
"3","S50","S50","Clementi Road",1.3337,103.7768
"4","S107","S107","East Coast Parkway",1.3135,103.9625
"5","S43","S43","Kim Chuan Road",1.3399,103.8878
"6","S44","S44","Nanyang Avenue",1.34583,103.68166
"7","S121","S121","Old Choa Chu Kang Road",1.37288,103.72244
"8","S106","S106","Pulau Ubin",1.4168,103.9673
"9","S111","S111","Scotts Road",1.31055,103.8365
"10","S122","S122","Sembawang Road",1.41731,103.8249
"11","S115","S115","Tuas South Avenue 3",1.29377,103.61843
"12","S24","S24","Upper Changi Road North",1.3678,103.9826
"13","S100","S100","Woodlands Road",1.4172,103.74855
